Dataset,K,Otto (9 classes),Dionis (355 classes),Helena (100 classes),SF-Crime (39 classes),MoA (206 labels),SCM20D (16 tasks),RF1 (8 tasks),Delicious (983 labels),Mediamill (101 labels)
Tabnet,-,903.2607,1853.4115,1195.6204,2682.5084,672.1119,295.73,207.8435,2902.3544,1230.7093
SketchBoost Full,-,131.2795,23919.0901,355.5974,1146.1403,696.249,597.8406,413.7743,19553.5613,1777.6927
XGBoost (one-vs-all),-,1244.9438,18635.1964,1036.0248,4016.9352,376.3628,1432.8394,315.1049,15795.5608,2074.3119
CatBoost (multioutput),-,73.7665,18600.3721,436.6722,659.731,9398.4015,798.6409,804.6936,20120.1416,10164.0577
Top Outputs,1,129.5913,783.7018,154.6307,174.233,40.0038,458.9562,351.1528,213.8397,251.4459
Top Outputs,2,126.5449,810.4931,151.685,207.5298,45.1278,476.2507,364.9863,229.3393,276.4852
Top Outputs,5,113.7105,1003.3881,146.3063,270.8648,59.4057,499.3633,369.8712,274.7669,313.6988
Top Outputs,10,-,1293.5372,138.1224,425.9713,69.9126,551.4483,-,375.7564,386.5528
Top Outputs,20,-,1889.298,156.4791,705.4014,103.5214,-,-,575.1124,529.5114
Random Sampling,1,104.4247,835.5595,180.6419,198.0625,61.5073,485.6434,347.9057,230.644,263.4639
Random Sampling,2,102.3624,880.4566,180.9462,219.6978,75.5351,491.4076,354.304,243.0265,273.3999
Random Sampling,5,116.3004,1087.0867,185.7413,299.7088,104.9205,528.8417,396.4812,314.3676,319.1161
Random Sampling,10,-,1404.1419,198.9258,422.4236,135.0571,590.4221,-,432.862,399.5259
Random Sampling,20,-,2038.0721,213.2844,676.2324,189.2574,-,-,664.0449,559.8831
Random Projection,1,89.6285,419.5824,109.981,136.5652,26.3955,466.0371,331.2367,212.18,235.9618
Random Projection,2,87.1467,464.4464,113.49,159.5843,29.3747,479.0236,340.9701,235.021,243.3114
Random Projection,5,107.955,629.9292,116.9194,233.3936,39.3908,528.448,393.1228,295.0743,294.3931
Random Projection,10,-,895.8915,128.2305,365.4783,55.9317,594.7274,-,436.5177,369.2635
Random Projection,20,-,1417.1877,149.008,612.804,87.0725,-,-,1259.752,527.1915
