Dataset,Framework,min_data_in_leaf,subsample,max_depth,lambda_l2,Completed Trials
Otto,CatBoost,47.0,0.8898706493378719,10.0,3.8300337798107753,31
Otto,XGBoost,1.0092894191264239e-05,0.5801161088702677,12.0,23.569950756451775,31
Dionis,CatBoost,1.0,1.0,6.0,1.0,6
Dionis,XGBoost,1e-05,1.0,6.0,1.0,3
Helena,CatBoost,2.0,0.546926380555819,6.0,12.773936501814877,31
Helena,XGBoost,0.33734021295324296,0.5047662860723792,6.0,23.325276554000446,31
SF-Crime,CatBoost,2.0,0.9416229762067696,11.0,2.6465153399037904,31
SF-Crime,XGBoost,1.2568243963708658,0.9182890069175036,12.0,8.37424278862703,24
MoA,CatBoost,30.0,0.8802332808862616,4.0,1.0318558552289716,10
MoA,XGBoost,0.003429951641964419,0.935333759997333,3.0,0.3708167845900013,31
SCM20D,CatBoost,5.0,0.9921144402651937,12.0,6.57246263779452,31
SCM20D,XGBoost,9.937704251363485,0.8052080542342086,6.0,1.4482106205282466,31
RF1,CatBoost,1.0,0.85210507872099,10.0,9.960692067793012,31
RF1,XGBoost,0.004313161915913154,0.6877345911362909,5.0,12.226070011154961,31
Delicious,CatBoost,76.0,0.623613094287341,12.0,13.057198025783617,5
Delicious,XGBoost,0.062359762022256786,0.7212849623699095,11.0,33.22806716694305,10
Mediamill,CatBoost,10.0,0.7614071512592329,8.0,11.16253874738454,8
Mediamill,XGBoost,1.9046951293112124,0.6881894523799078,12.0,39.30813527819602,31
